product_id,Other,Aldehyde,Amide,Ketone,Ester,Alcohol,Carboxylic Acid,sentiment_score
P476485,1,1,1,0,0,0,1,0.715889189189189
P456989,1,0,0,1,0,1,0,0.715974468085106
P474118,1,0,0,1,1,0,0,0.7160075
P501024,0,0,0,1,0,1,0,0.716266666666667
P297516,1,0,0,1,0,0,0,0.716349832674171
P469510,1,0,0,1,1,1,1,0.716512121212121
P232902,1,0,0,1,0,0,0,0.716518181818182
P481817,1,1,0,0,0,0,1,0.717017723004695
P500094,1,0,1,0,0,1,0,0.71705601659751
P434360,1,1,0,0,0,0,0,0.717119760479042
P438640,1,0,0,1,0,0,0,0.71729
P427638,1,0,1,1,0,1,1,0.717350078988942
P471541,1,0,0,1,0,1,0,0.717914594594595
P475188,1,0,0,1,0,0,0,0.71821052631579
P471017,1,0,0,1,0,1,1,0.718233333333333
P468634,1,0,0,1,0,0,0,0.718238461538462
P448562,1,0,0,1,0,1,0,0.718326086956522
P449601,1,0,0,1,0,0,0,0.718406666666667
P375841,1,0,0,1,1,0,1,0.718707684630739
P417107,1,1,0,1,0,1,0,0.718771830985916
P383054,1,0,0,1,0,1,0,0.7189
P455618,1,0,0,0,0,0,0,0.719091
P481408,0,1,0,1,0,0,1,0.719168115942029
P392235,0,0,0,1,0,1,0,0.719410887316277
P435800,1,0,1,1,0,1,0,0.719508641975309
P395615,1,0,0,1,0,1,0,0.719725384615385
P475543,1,0,0,1,1,0,1,0.719961866666667
P441645,1,0,0,1,0,1,0,0.7203125
P404322,1,1,0,0,0,1,0,0.720852637130802
P379064,1,1,0,1,0,0,0,0.721115107913669
P430146,1,0,0,1,0,1,0,0.721164595103578
P433971,1,1,0,1,0,0,1,0.721509523809524
P416552,1,0,0,1,1,1,0,0.722692682926829
P433974,1,1,0,1,0,1,0,0.722848484848485
P456417,1,0,0,1,0,1,1,0.723159646302251
P410657,1,0,0,0,0,0,0,0.7232125
P442745,1,1,1,1,0,0,0,0.724448717948718
P466673,1,0,0,1,0,1,0,0.724532277526395
P428240,1,0,0,1,0,1,1,0.72522100456621
P470040,1,0,0,0,0,0,0,0.725304975124378
P400259,1,0,0,1,0,1,1,0.72559968847352
P415237,1,0,0,0,0,1,0,0.725614019715225
P481354,1,0,0,0,0,0,0,0.725727450980392
P473126,1,0,1,0,1,0,0,0.725769565217391
P459133,1,0,0,0,1,0,0,0.725914583333333
P453227,1,0,0,0,1,0,0,0.725914583333333
P377919,1,0,0,0,0,11,1,0.725920792079208
P480629,1,0,1,0,0,0,0,0.726524902723736
P469506,1,0,0,1,0,0,0,0.726678850574713
P449175,1,1,0,0,0,0,0,0.726737142857143
P461948,1,0,0,0,0,1,1,0.726882456140351
P426340,0,0,1,0,0,0,0,0.726915121668598
P474825,1,0,0,1,0,0,1,0.727095394736842
P475907,1,0,1,0,1,0,0,0.72734512195122
P504880,1,0,1,1,0,1,0,0.7284625
P453818,1,0,0,0,0,0,0,0.7286208
P439058,1,0,1,0,0,1,1,0.728730621118013
P217932,1,0,1,0,1,0,1,0.729159898477157
P479633,1,0,1,0,1,0,0,0.729845171339564
P432668,1,0,1,0,1,1,0,0.730056234718826
P424985,1,1,0,1,1,0,0,0.7304
P434361,1,1,1,0,0,0,1,0.730689054726368
P504778,1,0,0,0,0,1,0,0.731115384615385
P455934,0,0,1,0,1,0,0,0.731383922829582
P475921,1,0,1,1,0,0,0,0.731447128927411
P407450,1,1,0,1,1,0,0,0.731508349514563
P434336,0,0,1,0,0,1,0,0.731573950299914
P379707,1,1,1,0,0,0,0,0.731749646226415
P501176,1,0,0,1,1,0,0,0.732128728070176
P500287,1,0,1,0,1,1,0,0.73228
P474325,1,0,1,0,0,1,0,0.732816666666667
P388545,1,0,0,0,0,1,0,0.732961111111111
P476730,1,1,1,0,1,0,0,0.733209852216749
P450633,1,0,0,0,0,1,0,0.733209852216749
P478029,0,0,0,1,0,0,0,0.73332507204611
P469088,0,0,0,1,0,0,0,0.73332507204611
P408241,1,1,0,1,1,1,0,0.733441025641026
P455623,1,0,1,0,1,0,1,0.73350207253886
P7880,1,0,0,1,0,0,0,0.733895123626374
P474824,1,0,1,0,0,0,0,0.733941700404858
P469511,1,0,1,0,1,1,0,0.734333636363637
P418624,0,0,1,0,0,0,0,0.734419786096257
P480607,1,0,1,0,1,0,0,0.73455
P469507,1,0,1,0,0,0,1,0.734593055555556
P475203,1,0,1,0,1,1,0,0.73460075
P475185,1,0,0,0,1,0,0,0.73460075
P502479,1,0,1,0,1,0,0,0.734670731707317
P463665,0,0,1,0,0,1,0,0.734682058047493
P471029,1,1,1,0,1,0,0,0.734892147239264
P460747,1,0,1,0,0,0,0,0.73501648177496
P392522,1,0,1,0,0,1,1,0.73522
P482695,1,0,1,0,0,0,0,0.735449738219895
P483661,1,0,0,0,1,0,0,0.735659459459459
P504795,1,0,1,0,1,1,0,0.735864705882353
P422013,1,1,1,0,0,1,0,0.736267752442997
P481371,0,0,1,0,0,0,0,0.736417919075145
P457696,1,0,1,0,0,1,0,0.736521527777778
P503634,1,0,1,0,1,0,0,0.736707777777778
P421249,1,1,0,1,1,0,0,0.737174193548387
P428103,1,0,0,0,1,1,1,0.737481818181818
P473185,1,0,0,0,1,0,0,0.738714285714286
P467251,1,1,1,0,1,0,0,0.739551798561151
P420158,1,0,0,0,1,1,0,0.739679952267303
P423167,1,0,0,0,1,0,0,0.7398
P447603,1,0,0,0,1,0,0,0.739959133709981
P416815,1,0,0,0,1,0,1,0.739963303386316
P500746,1,0,0,0,1,1,0,0.740666964285714
P448548,0,0,0,0,0,0,0,0.7411
P458219,1,0,0,0,1,0,0,0.741382595603734
P467762,1,0,0,0,1,0,0,0.741382595603734
P468821,1,0,1,0,0,1,1,0.741392336448598
P460757,1,0,0,0,1,0,0,0.741525
